Agent 0 positions over time:
  Step 368: x=1.680, y=0.621, g_x=1.740, g_y=0.675
  Step 369: x=1.682, y=0.626, g_x=1.740, g_y=0.675
  Step 370: x=1.684, y=0.631, g_x=1.740, g_y=0.675
  Step 371: x=1.686, y=0.635, g_x=1.740, g_y=0.675
  Step 372: x=1.688, y=0.640, g_x=1.897, g_y=1.417
  Step 373: x=1.694, y=0.650, g_x=1.897, g_y=1.417
  Step 374: x=1.704, y=0.667, g_x=1.897, g_y=1.417
  Step 375: x=1.715, y=0.689, g_x=1.897, g_y=1.417
  Step 376: x=1.726, y=0.714, g_x=1.897, g_y=1.417
  Step 377: x=1.738, y=0.741, g_x=1.897, g_y=1.417
  Step 378: x=1.748, y=0.770, g_x=1.897, g_y=1.417
  Step 379: x=1.757, y=0.799, g_x=1.897, g_y=1.417
  Step 380: x=1.766, y=0.828, g_x=1.897, g_y=1.417
  Step 381: x=1.773, y=0.858, g_x=1.897, g_y=1.417
  Step 382: x=1.779, y=0.887, g_x=1.897, g_y=1.417
  Step 383: x=1.785, y=0.915, g_x=1.897, g_y=1.417
  Step 384: x=1.790, y=0.942, g_x=1.897, g_y=1.417
  Step 385: x=1.794, y=0.969, g_x=1.897, g_y=1.417
  Step 386: x=1.798, y=0.994, g_x=1.897, g_y=1.417
  Step 387: x=1.801, y=1.018, g_x=1.897, g_y=1.417
  Step 388: x=1.804, y=1.042, g_x=1.897, g_y=1.417
  Step 389: x=1.807, y=1.064, g_x=1.897, g_y=1.417
  Step 390: x=1.810, y=1.085, g_x=1.897, g_y=1.417
  Step 391: x=1.813, y=1.105, g_x=1.897, g_y=1.417
  Step 392: x=1.815, y=1.124, g_x=1.897, g_y=1.417
  Step 393: x=1.817, y=1.142, g_x=1.897, g_y=1.417
  Step 394: x=1.819, y=1.160, g_x=1.897, g_y=1.417
  Step 395: x=1.821, y=1.176, g_x=1.897, g_y=1.417
  Step 396: x=1.823, y=1.192, g_x=1.897, g_y=1.417
  Step 397: x=1.825, y=1.207, g_x=1.897, g_y=1.417
  Step 398: x=1.827, y=1.221, g_x=1.897, g_y=1.417
